Usuario,Tag,THT,ND,TPP,HPD,NPPD,DCJ,Riesgo
Aiso,P2W,28.1,14,55,2.01,3.93,7,Bajo
Tyson,nlove,30.03,14,57,2.15,4.07,6,Medio
TLK320,LAS,23.23,23,54,1.01,2.35,8,Bajo
franchoski17,LAS,25.05,10,58,2.5,5.8,3,Bajo
KESMAN,LAS,28.27,12,57,2.36,4.75,6,Medio
Rey Oscuro,Leon,29.09,6,54,4.85,9.0,6,Alto
Jon Blackfyre,LAS,25.7,23,56,1.12,2.43,7,Bajo
Ritchan,LAS,27.86,11,57,2.53,5.18,11,Medio
SaiC,RBC,23.07,13,55,1.77,4.23,11,Medio
Baruff44,XII,30.17,22,59,1.37,2.68,5,Bajo
Näle,LAS,32.74,19,60,1.72,3.16,10,Bajo
smurf1505,smurf,25.57,19,56,1.35,2.95,3,Bajo
Kîƒµńø,LAS,27.64,13,56,2.13,4.31,7,Medio
VieguitoMaragona,URF,17.96,7,55,2.57,7.86,6,Medio
anwnie,LAS,27.49,15,54,1.83,3.6,8,Bajo
Michsss,6945,25.12,18,55,1.4,3.06,4,Bajo
gato perkin,LAS,25.7,11,56,2.34,5.09,7,Medio
CorneliaMolina,AMPAY,24.64,14,55,1.76,3.93,5,Bajo
Langosta Cosmica,fran,24.47,13,58,1.88,4.46,13,Medio
Knasky,Jaz,25.24,17,55,1.48,3.24,3,Bajo
PinpónEsUnMuñeco,WA0S,23.76,22,54,1.08,2.45,5,Bajo
Roruwu,42069,23.95,29,56,0.83,1.93,5,Bajo
Rin Matsuoka,FREE,24.41,11,57,2.22,5.18,11,Medio
Zombie Slayer,LAS,23.17,18,54,1.29,3.0,18,Bajo
Veronsqui,UNDs,23.73,6,58,3.96,9.67,6,Alto
VengadorM,LAS,24.93,15,58,1.66,3.87,15,Bajo
saroo13,LAS,24.05,12,57,2.0,4.75,8,Medio
TeZ,Deus,23.99,12,57,2.0,4.75,7,Medio
TacitaConTecito,LAS,25.97,14,60,1.85,4.29,9,Medio
tandoe,LAS,23.85,17,55,1.4,3.24,7,Bajo
Morjelakus,zaz,27.15,15,58,1.81,3.87,15,Bajo
Severity,666,23.56,17,55,1.39,3.24,6,Bajo
Moon,cito,23.4,15,56,1.56,3.73,14,Bajo
Maaæ,LAS1,27.4,14,60,1.96,4.29,9,Medio
RubiaFashion,LAS,25.45,10,55,2.54,5.5,7,Medio
MOONQUI,LAS,28.39,18,56,1.58,3.11,3,Bajo
Toky,Wena,28.59,11,57,2.6,5.18,11,Medio
tio goldo,1984,26.84,7,58,3.83,8.29,7,Alto
Colan,LAS,30.23,15,58,2.02,3.87,5,Bajo
GotGaren,1997,29.3,9,54,3.26,6.0,4,Medio
Cubito,4444,27.75,20,57,1.39,2.85,9,Bajo
DPontiacBandit,LAS,27.85,17,54,1.64,3.18,6,Bajo
agutin,LLL,28.15,10,56,2.81,5.6,4,Bajo
the adc is,UwU,26.1,13,55,2.01,4.23,4,Bajo
TilinDijoElBardo,LAS,27.31,12,55,2.28,4.58,3,Bajo
Felpa16,LAS,27.96,22,57,1.27,2.59,4,Bajo
Chinche Poroto,999,25.08,15,54,1.67,3.6,9,Bajo
TeemoLicion,002,27.7,22,55,1.26,2.5,12,Bajo
NoxFler,LAS,25.99,14,56,1.86,4.0,2,Bajo
