Usuario,Tag,THT,ND,HPD,DCJ,Riesgo
Aiso,P2W,27.98,8,3.5,3,1
Tyson,nlove,24.12,10,2.41,7,0
TLK320,LAS,9.59,6,1.6,2,0
franchoski17,LAS,19.73,11,1.79,5,0
KESMAN,LAS,18.82,7,2.69,3,0
Rey Oscuro,Leon,14.81,6,2.47,2,0
Jon Blackfyre,LAS,28.43,9,3.16,5,1
Ritchan,LAS,17.6,9,1.96,4,0
SaiC,RBC,16.07,10,1.61,3,0
Baruff44,XII,12.23,7,1.75,4,0
Näle,LAS,28.98,11,2.63,6,0
smurf1505,smurf,16.47,8,2.06,4,0
Kîƒµńø,LAS,21.25,9,2.36,3,0
VieguitoMaragona,URF,12.08,7,1.73,4,0
anwnie,LAS,23.27,8,2.91,4,1
Michsss,6945,37.65,13,2.9,8,1
gato perkin,LAS,25.87,8,3.23,4,1
CorneliaMolina,AMPAY,36.41,14,2.6,14,0
Langosta Cosmica,fran,26.63,8,3.33,3,1
Knasky,Jaz,11.87,5,2.37,2,0
PinpónEsUnMuñeco,WA0S,21.61,7,3.09,3,1
Roruwu,42069,11.31,6,1.89,2,0
Rin Matsuoka,FREE,30.6,10,3.06,4,1
Zombie Slayer,LAS,15.53,8,1.94,3,0
Veronsqui,UNDs,14.99,7,2.14,6,0
VengadorM,LAS,37.18,14,2.66,14,0
saroo13,LAS,8.78,6,1.46,3,0
TeZ,Deus,21.98,10,2.2,4,0
TacitaConTecito,LAS,21.99,9,2.44,7,0
tandoe,LAS,6.3,5,1.26,2,0
Morjelakus,zaz,27.48,9,3.05,5,1
Severity,666,25.64,8,3.21,3,1
Moon,cito,18.22,8,2.28,3,0
Maaæ,LAS1,37.28,11,3.39,5,1
RubiaFashion,LAS,13.81,6,2.3,3,0
MOONQUI,LAS,20.3,8,2.54,3,0
Toky,Wena,6.66,5,1.33,1,0
tio goldo,1984,14.04,8,1.75,5,0
Colan,LAS,30.47,11,2.77,5,0
GotGaren,1997,25.33,9,2.81,4,0
Cubito,4444,26.3,9,2.92,3,0
DPontiacBandit,LAS,13.98,7,2.0,4,0
agutin,LLL,22.24,9,2.47,3,0
the adc is,UwU,16.73,7,2.39,3,0
TilinDijoElBardo,LAS,18.12,7,2.59,5,0
Felpa16,LAS,9.45,7,1.35,2,0
Chinche Poroto,999,37.37,10,3.74,5,1
TeemoLicion,002,34.29,11,3.12,6,1
NoxFler,LAS,18.42,8,2.3,5,0
Princesa Support,3505,30.42,11,2.77,7,0
Weyes Blood,0519,33.62,9,3.74,6,1
katseye enjoyerr,T1LAS,31.16,10,3.12,4,1
Vaundy,3671,27.5,10,2.75,3,0
Â Û R Ë Ł Ï Ã H,LAS,25.97,9,2.89,4,0
Aress 2431,NDS,26.09,10,2.61,5,0
CrimenMusical,LAS,26.37,12,2.2,6,0
Gla,LAS,34.99,11,3.18,7,0
kilefaa,LAS,20.22,10,2.02,6,0
Affection,1111,39.35,13,3.03,12,1
Dvd,2799,17.33,9,1.93,4,0
Michael Olise,6x7vn,28.97,8,3.62,3,1
INSECTOS,MVP,9.58,5,1.92,2,0
Lucas,Abs,27.5,10,2.75,6,0
Todoko,LAS,13.74,8,1.72,3,0
Ranser,434,22.09,10,2.21,6,0
LoKio,LAS,15.65,9,1.74,4,0
Chosar,SPQR,26.22,12,2.19,11,0
Nagi,2880,39.47,12,3.29,10,1
YusiGuma,LAS,7.78,5,1.56,1,0
Webo,LAS,31.5,12,2.62,10,0
ferkk,111,14.15,7,2.02,5,0
rer,16180,28.12,11,2.56,6,0
Kuro,IRON,14.43,10,1.44,7,0
OddsAgainstMe,1905,28.87,11,2.62,7,0
Doron,Elle,16.26,7,2.32,3,0
La magia del sur,4444,13.18,6,2.2,4,0
Luuuu,max,33.86,11,3.08,8,1
0FF THE GRID,LAS,31.68,11,2.88,7,0
kaybroak,MVP,27.42,12,2.29,6,0
KasFesp,LAS,23.26,11,2.11,6,0
Salteño Promedio,ups,28.1,10,2.81,4,0
zzz,trap,30.63,9,3.4,2,1
God ryze,LAS,25.64,9,2.85,5,0
Ðiush,White,19.53,7,2.79,4,0
LoanniZz,DEUS,19.77,9,2.2,3,0
TTV Pikabam,001,10.96,7,1.57,2,0
AvHPeaceMaker,LAS,22.83,10,2.28,9,0
PeelMe,Tom,27.88,11,2.53,5,0
Pmx,LAS,50.78,12,4.23,9,1
El Garbanzo,LAS,13.41,9,1.49,4,0
Duki,7763,37.85,13,2.91,10,1
fedejuega,LAS,15.04,8,1.88,3,0
iJoker,LAS,10.82,4,2.71,1,1
jzsoe,LAS,16.58,6,2.76,4,0
Haewon,1998,8.99,4,2.25,1,0
T1Nyuloi,Nashe,26.29,11,2.39,6,0
iPloxSB,1476,13.54,7,1.93,3,0
Willimerca,6666,6.28,5,1.26,2,0
TotooR2,LAS,13.13,6,2.19,3,0
JacquesLacan,1230,42.51,12,3.54,12,1
RJAV,1998,27.46,9,3.05,4,1
Nestornadoxs,LAS,28.4,9,3.16,5,1
Reish99,2001,10.58,7,1.51,3,0
MadLife,NCS,30.26,12,2.52,5,0
LoGoZ,LAS,5.63,5,1.13,2,0
SkeeLetor,LAS,25.65,10,2.56,4,0
Gekidou,512,23.22,9,2.58,4,0
regicida,LAS69,33.11,12,2.76,5,0
Bling Bling,lowie,17.74,8,2.22,4,0
Asa Mitaka,Kelly,44.36,12,3.7,6,1
Thom Merrilin,LAS,32.04,11,2.91,8,1
Thaizor,LAS,12.97,10,1.3,5,0
Pingu,SEES,36.56,10,3.66,4,1
SinverGWENza,Gwen,14.21,8,1.78,3,0
222369,222,24.83,10,2.48,9,0
Mewi,LAS,26.39,9,2.93,3,0
moko,1040,11.19,7,1.6,3,0
Barry Chopper,LAS,8.89,7,1.27,3,0
Matisinho,000,22.47,6,3.74,2,1
Amal2,LAS,21.18,7,3.03,4,0
Dsá,Meins,20.75,9,2.31,4,0
Takirø,弓の神7R,25.08,12,2.09,8,0
Teemomazos,PER,26.23,8,3.28,5,1
LoboAlfaKevin,LAS,18.25,8,2.28,4,0
TeShacølaCtM,LAS,36.05,12,3.0,7,1
Pirlo,ush,28.97,8,3.62,3,1
Dito,rey,22.29,10,2.23,7,0
ignaa42,LAS,12.63,7,1.8,2,0
Mvko,LAS,26.49,10,2.65,6,0
el prokilll,LAS,27.45,11,2.5,5,0
