Usuario,Tag_pre,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,ICOGS_A,Riesgo
Aiso,P2W,5,3,1,3,4,2,3,3,4,3,3,3,41,1
Tyson,nlove,2,4,4,5,4,4,2,4,4,2,3,2,26,0
TLK320,LAS,1,4,5,5,4,5,1,5,2,1,2,2,17,0
franchoski17,LAS,2,3,5,5,4,5,2,5,1,2,2,1,19,0
KESMAN,LAS,4,2,3,4,5,4,3,4,3,1,3,1,29,0
Rey Oscuro,Leon,2,5,5,4,4,4,1,4,2,1,3,1,20,0
Jon Blackfyre,LAS,5,3,2,3,3,2,3,2,3,2,2,5,41,1
Ritchan,LAS,3,5,4,4,4,4,2,4,3,2,1,3,25,0
SaiC,RBC,3,5,5,5,4,4,1,3,1,2,2,2,21,0
Baruff44,XII,2,5,5,5,3,3,2,5,3,1,2,1,21,0
Näle,LAS,3,4,3,4,4,2,3,3,3,4,3,1,33,0
smurf1505,smurf,2,4,3,5,4,3,1,5,2,2,1,2,22,0
Kîƒµńø,LAS,1,3,4,4,5,5,4,3,2,2,3,2,26,0
VieguitoMaragona,URF,1,5,5,5,5,5,2,3,1,2,1,2,17,0
anwnie,LAS,3,4,3,3,2,2,4,3,3,2,4,3,38,1
Michsss,6945,4,3,4,2,4,3,4,4,4,4,3,2,37,1
gato perkin,LAS,4,4,2,3,3,3,4,4,3,4,4,3,39,1
CorneliaMolina,AMPAY,4,5,3,4,5,3,1,2,2,3,2,2,28,0
Langosta Cosmica,fran,3,2,3,4,2,3,4,3,3,3,3,5,40,1
Knasky,Jaz,3,4,4,2,2,5,2,4,2,2,3,1,28,0
PinpónEsUnMuñeco,WA0S,3,4,3,2,3,2,4,1,4,4,1,4,41,1
Roruwu,42069,2,5,3,5,5,3,2,2,1,3,1,1,23,0
Rin Matsuoka,FREE,1,3,3,2,1,3,4,2,4,2,2,2,37,1
Zombie Slayer,LAS,2,3,3,4,3,5,1,4,1,1,1,2,22,0
Veronsqui,UNDs,3,4,3,4,4,4,1,4,2,1,2,3,25,0
VengadorM,LAS,4,3,4,4,4,2,2,4,3,2,5,2,33,0
saroo13,LAS,2,5,5,5,5,4,2,5,2,1,2,1,17,0
TeZ,Deus,2,5,4,5,4,4,1,4,3,1,2,1,20,0
TacitaConTecito,LAS,2,4,4,3,4,3,1,3,4,3,2,4,31,0
tandoe,LAS,1,4,4,5,5,4,1,3,2,1,1,1,18,0
Morjelakus,zaz,4,4,3,2,1,3,3,4,2,3,3,3,37,1
Severity,666,2,4,4,2,3,3,3,2,4,4,3,2,36,1
Moon,cito,2,4,3,3,5,4,3,2,3,4,2,4,33,0
Maaæ,LAS1,3,2,2,2,3,3,3,4,3,5,4,3,41,1
RubiaFashion,LAS,2,4,4,5,5,5,2,4,3,2,3,1,22,0
MOONQUI,LAS,1,4,2,4,4,4,2,4,4,3,1,2,27,0
Toky,Wena,1,5,5,5,5,4,1,5,1,2,1,1,14,0
tio goldo,1984,1,4,5,5,5,5,2,4,2,2,2,1,18,0
Colan,LAS,3,3,4,2,4,3,2,4,4,4,4,2,35,0
GotGaren,1997,3,3,5,4,5,4,3,5,3,4,2,2,27,0
Cubito,4444,2,4,2,2,3,3,3,2,3,2,2,2,34,0
DPontiacBandit,LAS,1,4,3,5,4,4,3,5,4,3,2,2,26,0
agutin,LLL,2,4,4,3,4,3,3,4,1,3,3,2,28,0
the adc is,UwU,1,4,4,3,3,3,3,5,3,1,2,3,27,0
TilinDijoElBardo,LAS,2,4,5,5,4,4,3,3,3,4,2,2,27,0
Felpa16,LAS,1,5,5,5,5,3,1,4,2,1,1,2,17,0
Chinche Poroto,999,4,1,1,2,2,1,5,2,4,5,5,5,55,1
TeemoLicion,002,3,2,3,2,4,3,4,5,3,4,2,4,37,1
NoxFler,LAS,3,4,3,4,5,3,2,4,2,1,1,2,24,0
Princesa Support,3505,4,2,3,3,3,4,3,4,3,3,2,3,35,0
Weyes Blood,0519,5,3,1,1,3,2,4,2,3,5,5,4,50,1
katseye enjoyerr,T1LAS,2,3,3,3,4,3,4,1,5,2,2,3,37,1
Vaundy,3671,3,4,4,4,4,4,3,3,4,4,2,2,31,0
Â Û R Ë Ł Ï Ã H,LAS,3,3,4,3,5,2,2,3,3,3,2,3,32,0
Aress 2431,NDS,2,3,2,3,4,3,2,2,2,3,3,2,33,0
CrimenMusical,LAS,3,4,3,3,4,4,4,5,2,2,2,1,27,0
Gla,LAS,2,4,4,3,3,3,3,3,3,3,3,3,33,0
kilefaa,LAS,2,5,4,3,5,3,3,4,3,1,2,1,24,0
Affection,1111,3,4,3,3,3,2,4,4,3,4,3,3,37,1
Dvd,2799,2,4,3,3,3,4,2,3,3,3,2,2,30,0
Michael Olise,6x7vn,3,2,3,2,2,2,4,2,5,2,5,4,46,1
INSECTOS,MVP,1,5,4,4,5,4,1,5,1,1,2,2,17,0
Lucas,Abs,3,5,3,4,2,3,3,2,2,3,1,2,31,0
Todoko,LAS,2,3,4,4,3,4,2,4,1,3,2,2,26,0
Ranser,434,2,5,4,5,4,5,1,5,2,1,2,1,17,0
LoKio,LAS,2,4,4,4,4,4,1,5,1,2,1,1,19,0
Chosar,SPQR,1,5,5,4,3,4,2,2,3,1,3,3,26,0
Nagi,2880,5,3,3,3,4,3,3,3,4,4,2,2,37,1
YusiGuma,LAS,2,5,5,4,5,4,2,5,2,3,1,1,19,0
Webo,LAS,3,4,4,5,4,3,3,4,2,3,3,3,29,0
ferkk,111,3,5,3,5,5,4,3,5,2,2,1,2,22,0
rer,16180,4,5,3,3,1,5,1,3,2,3,3,2,31,0
Kuro,IRON,2,4,4,5,5,5,1,5,3,2,1,1,18,0
OddsAgainstMe,1905,3,3,2,4,4,3,3,4,3,3,2,2,32,0
Doron,Elle,3,5,3,4,5,4,2,4,2,2,2,2,24,0
La magia del sur,4444,2,5,4,5,4,3,2,5,1,2,1,1,19,0
Luuuu,max,2,3,2,2,2,2,3,2,3,3,3,5,42,1
0FF THE GRID,LAS,3,2,3,2,3,4,3,4,2,3,2,3,34,0
kaybroak,MVP,1,5,4,4,4,5,3,5,1,2,2,3,21,0
KasFesp,LAS,1,4,4,4,5,4,2,4,2,2,1,2,21,0
Salteño Promedio,ups,3,4,5,3,5,3,2,3,3,4,3,2,30,0
zzz,trap,4,2,2,2,2,3,3,1,5,2,3,3,44,1
God ryze,LAS,3,4,3,3,4,3,3,4,1,3,3,3,31,0
Ðiush,White,2,4,4,4,2,4,3,3,2,3,3,1,29,0
LoanniZz,DEUS,2,4,5,5,5,4,3,5,2,3,2,2,22,0
TTV Pikabam,001,2,5,4,3,4,5,1,5,3,1,2,1,20,0
AvHPeaceMaker,LAS,2,4,2,4,3,5,1,4,1,1,2,2,23,0
PeelMe,Tom,3,4,4,4,4,3,2,4,3,3,2,2,28,0
Pmx,LAS,4,2,3,1,1,1,5,2,5,5,5,5,55,1
El Garbanzo,LAS,1,5,4,4,4,5,1,4,2,1,2,1,18,0
Duki,7763,3,3,4,3,3,5,3,4,4,3,5,4,36,1
fedejuega,LAS,2,5,3,3,3,3,1,4,1,2,1,2,24,0
iJoker,LAS,3,2,3,1,2,2,2,3,3,3,1,3,38,1
