Usuario,Tag,THT,ND,TPP,HPD,NPPD,DCJ,Riesgo
Syn_Al_0001,SYN,45.08,7,70,6.44,10.0,7,Alto
Syn_Al_0002,SYN,27.96,5,41,5.59,8.2,4,Alto
Syn_Al_0003,SYN,30.15,4,48,7.54,12.0,4,Alto
Syn_Al_0004,SYN,37.86,8,74,4.73,9.25,7,Alto
Syn_Al_0005,SYN,38.94,9,90,4.33,10.0,8,Alto
Syn_Al_0006,SYN,56.45,9,88,6.27,9.78,8,Alto
Syn_Al_0007,SYN,51.24,8,72,6.41,9.0,7,Alto
Syn_Al_0008,SYN,54.3,9,87,6.03,9.67,9,Alto
Syn_Al_0009,SYN,28.93,4,43,7.23,10.75,4,Alto
Syn_Al_0010,SYN,20.7,4,39,5.17,9.75,4,Alto
Syn_Al_0011,SYN,44.75,10,80,4.47,8.0,9,Alto
Syn_Al_0012,SYN,47.27,7,61,6.75,8.71,7,Alto
Syn_Al_0013,SYN,39.11,6,62,6.52,10.33,5,Alto
Syn_Al_0014,SYN,30.28,7,68,4.33,9.71,7,Alto
Syn_Al_0015,SYN,36.33,8,79,4.54,9.88,8,Alto
Syn_Al_0016,SYN,59.48,10,107,5.95,10.7,10,Alto
Syn_Al_0017,SYN,28.42,8,66,3.55,8.25,7,Alto
Syn_Al_0018,SYN,26.81,7,57,3.83,8.14,6,Alto
Syn_Al_0019,SYN,28.92,5,53,5.78,10.6,4,Alto
Syn_Al_0020,SYN,39.33,9,77,4.37,8.56,8,Alto
Syn_Al_0021,SYN,45.8,7,67,6.54,9.57,6,Alto
Syn_Al_0022,SYN,29.71,5,45,5.94,9.0,5,Alto
Syn_Al_0023,SYN,60.2,11,94,5.47,8.55,10,Alto
Syn_Al_0024,SYN,66.7,11,105,6.06,9.55,10,Alto
Syn_Al_0025,SYN,66.66,10,87,6.67,8.7,10,Alto
Syn_Al_0026,SYN,36.1,8,62,4.51,7.75,8,Alto
Syn_Al_0027,SYN,51.8,8,78,6.47,9.75,7,Alto
Syn_Al_0028,SYN,61.98,10,77,6.2,7.7,10,Alto
Syn_Al_0029,SYN,64.91,11,88,5.9,8.0,10,Alto
Syn_Al_0030,SYN,30.2,8,61,3.77,7.62,8,Alto
Syn_Al_0031,SYN,50.4,8,83,6.3,10.38,8,Alto
Syn_Al_0032,SYN,33.6,8,65,4.2,8.12,7,Alto
Syn_Al_0033,SYN,29.17,5,46,5.83,9.2,4,Alto
Syn_Al_0034,SYN,42.18,10,81,4.22,8.1,9,Alto
Syn_Al_0035,SYN,28.33,5,51,5.67,10.2,4,Alto
Syn_Al_0036,SYN,56.23,9,78,6.25,8.67,9,Alto
Syn_Al_0037,SYN,24.68,4,48,6.17,12.0,4,Alto
Syn_Al_0038,SYN,34.39,5,49,6.88,9.8,5,Alto
Syn_Al_0039,SYN,61.56,10,76,6.16,7.6,9,Alto
Syn_Al_0040,SYN,29.87,4,35,7.47,8.75,4,Alto
Syn_Al_0041,SYN,30.12,5,43,6.02,8.6,5,Alto
Syn_Al_0042,SYN,54.22,10,101,5.42,10.1,10,Alto
Syn_Al_0043,SYN,38.31,6,67,6.39,11.17,5,Alto
Syn_Al_0044,SYN,42.64,10,77,4.26,7.7,9,Alto
Syn_Al_0045,SYN,31.88,7,59,4.55,8.43,6,Alto
Syn_Al_0046,SYN,35.39,10,94,3.54,9.4,9,Alto
Syn_Al_0047,SYN,62.35,11,83,5.67,7.55,10,Alto
Syn_Al_0048,SYN,24.81,4,42,6.2,10.5,4,Alto
Syn_Al_0049,SYN,33.48,5,60,6.7,12.0,5,Alto
Syn_Al_0050,SYN,49.83,9,70,5.54,7.78,9,Alto
Syn_Al_0051,SYN,27.94,4,46,6.99,11.5,4,Alto
Syn_Al_0052,SYN,25.68,4,44,6.42,11.0,4,Alto
Syn_Al_0053,SYN,62.2,11,93,5.65,8.45,10,Alto
Syn_Al_0054,SYN,21.82,4,43,5.46,10.75,4,Alto
Syn_Al_0055,SYN,53.04,8,66,6.63,8.25,8,Alto
Syn_Al_0056,SYN,58.31,9,85,6.48,9.44,9,Alto
Syn_Al_0057,SYN,52.73,9,68,5.86,7.56,9,Alto
Syn_Al_0058,SYN,27.35,7,52,3.91,7.43,7,Alto
Syn_Al_0059,SYN,53.66,9,81,5.96,9.0,8,Alto
Syn_Al_0060,SYN,43.94,8,65,5.49,8.12,7,Alto
Syn_Al_0061,SYN,27.93,4,40,6.98,10.0,4,Alto
Syn_Al_0062,SYN,66.12,10,87,6.61,8.7,9,Alto
Syn_Al_0063,SYN,67.11,10,96,6.71,9.6,10,Alto
Syn_Al_0064,SYN,27.74,4,43,6.93,10.75,4,Alto
Syn_Al_0065,SYN,53.93,9,83,5.99,9.22,9,Alto
Syn_Al_0066,SYN,36.87,9,81,4.1,9.0,9,Alto
Syn_Al_0067,SYN,47.32,8,82,5.92,10.25,7,Alto
Syn_Al_0068,SYN,61.57,10,99,6.16,9.9,9,Alto
Syn_Al_0069,SYN,41.63,10,87,4.16,8.7,9,Alto
Syn_Al_0070,SYN,26.05,5,53,5.21,10.6,5,Alto
Syn_Al_0071,SYN,68.61,10,106,6.86,10.6,9,Alto
Syn_Al_0072,SYN,45.5,7,65,6.5,9.29,7,Alto
Syn_Al_0073,SYN,30.34,8,62,3.79,7.75,7,Alto
Syn_Al_0074,SYN,32.78,5,45,6.56,9.0,5,Alto
Syn_Al_0075,SYN,38.71,6,48,6.45,8.0,6,Alto
Syn_Al_0076,SYN,33.42,8,76,4.18,9.5,8,Alto
Syn_Al_0077,SYN,33.74,7,67,4.82,9.57,6,Alto
Syn_Al_0078,SYN,28.64,5,46,5.73,9.2,5,Alto
Syn_Al_0079,SYN,51.37,8,83,6.42,10.38,8,Alto
Syn_Al_0080,SYN,57.06,10,95,5.71,9.5,10,Alto
Syn_Al_0081,SYN,40.44,7,76,5.78,10.86,6,Alto
Syn_Al_0082,SYN,25.13,6,45,4.19,7.5,6,Alto
Syn_Al_0083,SYN,46.63,10,99,4.66,9.9,9,Alto
Syn_Al_0084,SYN,26.36,5,53,5.27,10.6,5,Alto
Syn_Al_0085,SYN,38.33,8,71,4.79,8.88,8,Alto
Syn_Al_0086,SYN,51.57,9,82,5.73,9.11,9,Alto
Syn_Al_0087,SYN,29.44,5,42,5.89,8.4,5,Alto
Syn_Al_0088,SYN,37.35,7,68,5.34,9.71,7,Alto
Syn_Al_0089,SYN,45.74,8,73,5.72,9.12,7,Alto
Syn_Al_0090,SYN,42.46,9,67,4.72,7.44,9,Alto
Syn_Al_0091,SYN,49.42,9,79,5.49,8.78,9,Alto
Syn_Al_0092,SYN,20.9,4,37,5.22,9.25,4,Alto
