Usuario,Tag,THT_pre,ND_pre,HPD_pre,NPPD_pre,DCJ_pre,Riesgo_pre,THT_post,ND_post,TPP_post,HPD_post,NPPD_post,DCJ_post,Riesgo_post,PRTPJ_HPD,PRTPJ_NPPD,PRTPJ_DCJ,dif_HPD,dif_NPPD,dif_DCJ
Aiso,P2W,30.52,12,2.54,5.0,8,Medio,28.1,14,55,2.01,3.93,7,Bajo,20.866141732283474,21.4,12.5,0.5300000000000002,1.0699999999999998,1
Tyson,nlove,31.76,14,2.27,4.29,6,Medio,30.03,14,57,2.15,4.07,6,Medio,5.286343612334806,5.128205128205122,0.0,0.1200000000000001,0.21999999999999975,0
TLK320,LAS,26.45,22,1.2,2.73,8,Bajo,23.23,23,54,1.01,2.35,8,Bajo,15.83333333333333,13.919413919413914,0.0,0.18999999999999995,0.3799999999999999,0
franchoski17,LAS,27.6,9,3.07,6.67,3,Bajo,25.05,10,58,2.5,5.8,3,Bajo,18.56677524429967,13.043478260869568,0.0,0.5699999999999998,0.8700000000000001,0
KESMAN,LAS,29.4,12,2.45,5.0,6,Medio,28.27,12,57,2.36,4.75,6,Medio,3.673469387755114,5.0,0.0,0.0900000000000003,0.25,0
Rey Oscuro,Leon,28.72,10,2.87,6.0,6,Medio,29.09,6,54,4.85,9.0,6,Alto,-68.9895470383275,-50.0,0.0,-1.9799999999999995,-3.0,0
Jon Blackfyre,LAS,29.14,26,1.12,2.31,7,Bajo,25.7,23,56,1.12,2.43,7,Bajo,0.0,-5.194805194805199,0.0,0.0,-0.1200000000000001,0
Ritchan,LAS,29.18,12,2.43,5.0,12,Medio,27.86,11,57,2.53,5.18,11,Medio,-4.115226337448545,-3.5999999999999943,8.333333333333332,-0.09999999999999964,-0.17999999999999972,1
SaiC,RBC,26.26,18,1.46,3.33,7,Bajo,23.07,13,55,1.77,4.23,11,Medio,-21.23287671232877,-27.02702702702704,-57.14285714285714,-0.31000000000000005,-0.9000000000000004,-4
Baruff44,XII,30.42,22,1.38,2.73,5,Bajo,30.17,22,59,1.37,2.68,5,Bajo,0.7246376811594049,1.831501831501825,0.0,0.009999999999999787,0.04999999999999982,0
Näle,LAS,32.74,19,1.72,3.16,10,Bajo,32.74,19,60,1.72,3.16,10,Bajo,0.0,0.0,0.0,0.0,0.0,0
smurf1505,smurf,26.65,19,1.4,3.16,4,Bajo,25.57,19,56,1.35,2.95,3,Bajo,3.5714285714285587,6.645569620253163,25.0,0.04999999999999982,0.20999999999999996,1
Kîƒµńø,LAS,29.96,14,2.14,4.29,7,Medio,27.64,13,56,2.13,4.31,7,Medio,0.46728971962617905,-0.46620046620045624,0.0,0.010000000000000231,-0.019999999999999574,0
VieguitoMaragona,URF,25.29,7,3.61,8.57,4,Medio,17.96,7,55,2.57,7.86,6,Medio,28.80886426592798,8.284714119019835,-50.0,1.04,0.71,-2
anwnie,LAS,29.74,13,2.29,4.62,6,Medio,27.49,15,54,1.83,3.6,8,Bajo,20.087336244541483,22.07792207792208,-33.33333333333333,0.45999999999999996,1.02,-2
Michsss,6945,27.41,18,1.52,3.33,4,Bajo,25.12,18,55,1.4,3.06,4,Bajo,7.89473684210527,8.108108108108109,0.0,0.1200000000000001,0.27,0
gato perkin,LAS,27.28,12,2.27,5.0,5,Bajo,25.7,11,56,2.34,5.09,7,Medio,-3.0837004405286272,-1.7999999999999972,-40.0,-0.06999999999999984,-0.08999999999999986,-2
CorneliaMolina,AMPAY,25.99,15,1.73,4.0,5,Bajo,24.64,14,55,1.76,3.93,5,Bajo,-1.7341040462427761,1.749999999999996,0.0,-0.030000000000000027,0.06999999999999984,0
Langosta Cosmica,fran,25.91,12,2.16,5.0,12,Medio,24.47,13,58,1.88,4.46,13,Medio,12.962962962962973,10.8,-8.333333333333332,0.28000000000000025,0.54,-1
Knasky,Jaz,30.13,16,1.88,3.75,4,Bajo,25.24,17,55,1.48,3.24,3,Bajo,21.276595744680847,13.599999999999996,25.0,0.3999999999999999,0.5099999999999998,1
PinpónEsUnMuñeco,WA0S,27.6,26,1.06,2.31,5,Bajo,23.76,22,54,1.08,2.45,5,Bajo,-1.8867924528301903,-6.060606060606066,0.0,-0.020000000000000018,-0.14000000000000012,0
Roruwu,42069,25.56,29,0.88,2.07,5,Bajo,23.95,29,56,0.83,1.93,5,Bajo,5.681818181818187,6.763285024154585,0.0,0.050000000000000044,0.1399999999999999,0
Rin Matsuoka,FREE,26.39,13,2.03,4.62,13,Medio,24.41,11,57,2.22,5.18,11,Medio,-9.35960591133007,-12.121212121212112,15.384615384615385,-0.1900000000000004,-0.5599999999999996,2
Zombie Slayer,LAS,26.27,16,1.64,3.75,16,Bajo,23.17,18,54,1.29,3.0,18,Bajo,21.34146341463414,20.0,-12.5,0.34999999999999987,0.75,-2
Veronsqui,UNDs,26.42,17,1.55,3.53,5,Bajo,23.73,6,58,3.96,9.67,6,Alto,-155.48387096774195,-173.9376770538244,-20.0,-2.41,-6.140000000000001,-1
