Usuario,Tag,HPD_pre,HPD_post,PRTPJ_HPD,NPPD_pre,NPPD_post,PRTPJ_NPPD,DCJ_pre,DCJ_post,PRTPJ_DCJ,dif_HPD,dif_NPPD,dif_DCJ
Aiso,P2W,2.54,2.01,20.866141732283474,5.0,3.93,21.4,8,7,12.5,0.5300000000000002,1.0699999999999998,1
Tyson,nlove,2.27,2.15,5.286343612334806,4.29,4.07,5.128205128205122,6,6,0.0,0.1200000000000001,0.21999999999999975,0
TLK320,LAS,1.2,1.01,15.83333333333333,2.73,2.35,13.919413919413914,8,8,0.0,0.18999999999999995,0.3799999999999999,0
franchoski17,LAS,3.07,2.5,18.56677524429967,6.67,5.8,13.043478260869568,3,3,0.0,0.5699999999999998,0.8700000000000001,0
KESMAN,LAS,2.45,2.36,3.673469387755114,5.0,4.75,5.0,6,6,0.0,0.0900000000000003,0.25,0
Rey Oscuro,Leon,2.87,4.85,-68.9895470383275,6.0,9.0,-50.0,6,6,0.0,-1.9799999999999995,-3.0,0
Jon Blackfyre,LAS,1.12,1.12,0.0,2.31,2.43,-5.194805194805199,7,7,0.0,0.0,-0.1200000000000001,0
Ritchan,LAS,2.43,2.53,-4.115226337448545,5.0,5.18,-3.5999999999999943,12,11,8.333333333333332,-0.09999999999999964,-0.17999999999999972,1
SaiC,RBC,1.46,1.77,-21.23287671232877,3.33,4.23,-27.02702702702704,7,11,-57.14285714285714,-0.31000000000000005,-0.9000000000000004,-4
Baruff44,XII,1.38,1.37,0.7246376811594049,2.73,2.68,1.831501831501825,5,5,0.0,0.009999999999999787,0.04999999999999982,0
Näle,LAS,1.72,1.72,0.0,3.16,3.16,0.0,10,10,0.0,0.0,0.0,0
smurf1505,smurf,1.4,1.35,3.5714285714285587,3.16,2.95,6.645569620253163,4,3,25.0,0.04999999999999982,0.20999999999999996,1
Kîƒµńø,LAS,2.14,2.13,0.46728971962617905,4.29,4.31,-0.46620046620045624,7,7,0.0,0.010000000000000231,-0.019999999999999574,0
VieguitoMaragona,URF,3.61,2.57,28.80886426592798,8.57,7.86,8.284714119019835,4,6,-50.0,1.04,0.71,-2
anwnie,LAS,2.29,1.83,20.087336244541483,4.62,3.6,22.07792207792208,6,8,-33.33333333333333,0.45999999999999996,1.02,-2
Michsss,6945,1.52,1.4,7.89473684210527,3.33,3.06,8.108108108108109,4,4,0.0,0.1200000000000001,0.27,0
gato perkin,LAS,2.27,2.34,-3.0837004405286272,5.0,5.09,-1.7999999999999972,5,7,-40.0,-0.06999999999999984,-0.08999999999999986,-2
CorneliaMolina,AMPAY,1.73,1.76,-1.7341040462427761,4.0,3.93,1.749999999999996,5,5,0.0,-0.030000000000000027,0.06999999999999984,0
Langosta Cosmica,fran,2.16,1.88,12.962962962962973,5.0,4.46,10.8,12,13,-8.333333333333332,0.28000000000000025,0.54,-1
Knasky,Jaz,1.88,1.48,21.276595744680847,3.75,3.24,13.599999999999996,4,3,25.0,0.3999999999999999,0.5099999999999998,1
PinpónEsUnMuñeco,WA0S,1.06,1.08,-1.8867924528301903,2.31,2.45,-6.060606060606066,5,5,0.0,-0.020000000000000018,-0.14000000000000012,0
Roruwu,42069,0.88,0.83,5.681818181818187,2.07,1.93,6.763285024154585,5,5,0.0,0.050000000000000044,0.1399999999999999,0
Rin Matsuoka,FREE,2.03,2.22,-9.35960591133007,4.62,5.18,-12.121212121212112,13,11,15.384615384615385,-0.1900000000000004,-0.5599999999999996,2
