Usuario,Tag,THT,ND,TPP,HPD,NPPD,DCJ,Riesgo
Aiso,P2W,30.52,12,60,2.54,5.0,8,Medio
Tyson,nlove,31.76,14,60,2.27,4.29,6,Medio
TLK320,LAS,26.45,22,60,1.2,2.73,8,Bajo
franchoski17,LAS,27.6,9,60,3.07,6.67,3,Bajo
KESMAN,LAS,29.4,12,60,2.45,5.0,6,Medio
Rey Oscuro,Leon,28.72,10,60,2.87,6.0,6,Medio
Jon Blackfyre,LAS,29.14,26,60,1.12,2.31,7,Bajo
Ritchan,LAS,29.18,12,60,2.43,5.0,12,Medio
SaiC,RBC,26.26,18,60,1.46,3.33,7,Bajo
Baruff44,XII,30.42,22,60,1.38,2.73,5,Bajo
Näle,LAS,32.74,19,60,1.72,3.16,10,Bajo
smurf1505,smurf,26.65,19,60,1.4,3.16,4,Bajo
Kîƒµńø,LAS,29.96,14,60,2.14,4.29,7,Medio
VieguitoMaragona,URF,25.29,7,60,3.61,8.57,4,Medio
anwnie,LAS,29.74,13,60,2.29,4.62,6,Medio
Michsss,6945,27.41,18,60,1.52,3.33,4,Bajo
gato perkin,LAS,27.28,12,60,2.27,5.0,5,Bajo
CorneliaMolina,AMPAY,25.99,15,60,1.73,4.0,5,Bajo
Langosta Cosmica,fran,25.91,12,60,2.16,5.0,12,Medio
Knasky,Jaz,30.13,16,60,1.88,3.75,4,Bajo
PinpónEsUnMuñeco,WA0S,27.6,26,60,1.06,2.31,5,Bajo
Roruwu,42069,25.56,29,60,0.88,2.07,5,Bajo
Rin Matsuoka,FREE,26.39,13,60,2.03,4.62,13,Medio
Zombie Slayer,LAS,26.27,16,60,1.64,3.75,16,Bajo
Veronsqui,UNDs,26.42,17,60,1.55,3.53,5,Bajo
VengadorM,LAS,25.01,16,60,1.56,3.75,11,Bajo
saroo13,LAS,26.05,14,60,1.86,4.29,8,Medio
TeZ,Deus,25.64,13,60,1.97,4.62,6,Medio
TacitaConTecito,LAS,26.74,14,60,1.91,4.29,6,Medio
tandoe,LAS,26.35,18,60,1.46,3.33,13,Bajo
Morjelakus,zaz,27.98,13,60,2.15,4.62,11,Medio
Severity,666,25.28,23,60,1.1,2.61,3,Bajo
Moon,cito,25.62,19,60,1.35,3.16,13,Bajo
Maaæ,LAS1,27.32,15,60,1.82,4.0,8,Bajo
RubiaFashion,LAS,28.58,12,60,2.38,5.0,9,Medio
MOONQUI,LAS,29.66,20,60,1.48,3.0,3,Bajo
Toky,Wena,28.81,9,60,3.2,6.67,9,Medio
tio goldo,1984,28.77,9,60,3.2,6.67,9,Medio
Colan,LAS,31.02,14,60,2.22,4.29,5,Bajo
GotGaren,1997,31.82,9,60,3.54,6.67,7,Medio
Cubito,4444,29.2,21,60,1.39,2.86,6,Bajo
DPontiacBandit,LAS,29.98,18,60,1.67,3.33,6,Bajo
agutin,LLL,30.58,13,60,2.35,4.62,5,Bajo
the adc is,UwU,28.46,14,60,2.03,4.29,3,Bajo
TilinDijoElBardo,LAS,28.69,13,60,2.21,4.62,3,Bajo
Felpa16,LAS,30.89,24,60,1.29,2.5,7,Bajo
Chinche Poroto,999,27.13,14,60,1.94,4.29,13,Medio
TeemoLicion,002,29.83,24,60,1.24,2.5,13,Bajo
NoxFler,LAS,27.48,16,60,1.72,3.75,2,Bajo
