Usuario,Tag,THT,ND,HPD,NPPD,DCJ,Riesgo
Skill Gap,111,47.89,20,2.39,4.9,10,Medio
Aiso,P2W,47.25,20,2.36,4.9,9,Medio
Tyson,nlove,47.57,25,1.9,3.92,6,Bajo
20Mamar80Correr,00000,47.34,27,1.75,3.63,18,Bajo
TLK320,LAS,42.12,29,1.45,3.38,8,Bajo
franchoski17,LAS,45.18,20,2.26,4.9,2,Bajo
KESMAN,LAS,49.32,20,2.47,4.9,6,Medio
Rey Oscuro,Leon,49.39,18,2.74,5.44,17,Medio
Jon Blackfyre,LAS,46.71,33,1.42,2.97,14,Bajo
Ritchan,LAS,48.2,20,2.41,4.9,20,Medio
SaiC,RBC,41.44,43,0.96,2.28,9,Bajo
Baruff44,XII,48.92,31,1.58,3.16,10,Bajo
Näle,LAS,51.41,31,1.66,3.16,13,Bajo
smurf1505,smurf,46.07,33,1.4,2.97,5,Bajo
Kîƒµńø,LAS,48.98,23,2.13,4.26,9,Medio
VieguitoMaragona,URF,46.99,11,4.27,8.91,7,Alto
anwnie,LAS,49.23,21,2.34,4.67,6,Medio
Michsss,6945,44.56,30,1.49,3.27,8,Bajo
gato perkin,LAS,44.23,35,1.26,2.8,4,Bajo
CorneliaMolina,AMPAY,45.39,31,1.46,3.16,6,Bajo
Langosta Cosmica,fran,42.45,19,2.23,5.16,15,Medio
Knasky,Jaz,48.66,26,1.87,3.77,9,Bajo
PinpónEsUnMuñeco,WA0S,46.12,33,1.4,2.97,10,Bajo
Roruwu,42069,43.61,50,0.87,1.96,6,Bajo
Rin Matsuoka,FREE,42.81,22,1.95,4.45,12,Medio
Zombie Slayer,LAS,43.08,28,1.54,3.5,13,Bajo
Veronsqui,UNDs,48.1,34,1.41,2.88,6,Bajo
VengadorM,LAS,43.95,27,1.63,3.63,8,Bajo
saroo13,LAS,42.04,17,2.47,5.76,6,Medio
TeZ,Deus,42.27,18,2.35,5.44,9,Medio
TacitaConTecito,LAS,42.34,20,2.12,4.9,6,Medio
tandoe,LAS,41.87,26,1.61,3.77,17,Bajo
Morjelakus,zaz,44.34,20,2.22,4.9,7,Medio
Severity,666,43.55,34,1.28,2.88,5,Bajo
Moon,cito,40.68,34,1.2,2.88,13,Bajo
Maaæ,LAS1,47.05,32,1.47,3.06,10,Bajo
RubiaFashion,LAS,45.48,18,2.53,5.39,9,Medio
MOONQUI,LAS,42.15,28,1.51,3.5,4,Bajo
Toky,Wena,49.61,13,3.82,7.54,13,Alto
tio goldo,1984,47.69,19,2.51,5.16,11,Medio
Colan,LAS,50.16,22,2.28,4.45,5,Bajo
GotGaren,1997,52.72,22,2.4,4.45,7,Medio
Cubito,4444,47.14,31,1.52,3.16,4,Bajo
DPontiacBandit,LAS,47.71,26,1.83,3.77,6,Bajo
agutin,LLL,50.96,27,1.89,3.63,10,Bajo
the adc is,UwU,45.0,27,1.67,3.63,6,Bajo
TilinDijoElBardo,LAS,46.69,21,2.22,4.67,4,Bajo
Felpa16,LAS,51.61,31,1.66,3.16,10,Bajo
Chinche Poroto,999,49.37,23,2.15,4.26,12,Medio
TeemoLicion,002,46.25,38,1.22,2.58,13,Bajo
NoxFler,LAS,43.81,21,2.09,4.67,3,Bajo
Princesa Support,3505,47.87,25,1.91,3.92,10,Bajo
Weyes Blood,0519,44.72,11,4.07,8.91,11,Alto
katseye enjoyerr,T1LAS,43.65,33,1.32,2.97,7,Bajo
Vaundy,3671,47.05,14,3.36,7.0,5,Medio
Â Û R Ë Ł Ï Ã H,LAS,51.69,15,3.45,6.53,8,Medio
Aress 2431,NDS,49.19,27,1.82,3.63,8,Bajo
CrimenMusical,LAS,47.16,19,2.48,5.16,8,Medio
Gla,LAS,48.88,37,1.32,2.65,20,Bajo
kilefaa,LAS,45.88,9,5.1,10.89,9,Alto
Affection,1111,43.24,16,2.7,6.12,9,Medio
Dvd,2799,47.04,12,3.92,8.17,6,Alto
Michael Olise,6x7vn,44.28,37,1.2,2.65,11,Bajo
INSECTOS,MVP,44.14,31,1.42,3.16,8,Bajo
Lucas,Abs,43.73,45,0.97,2.18,9,Bajo
Todoko,LAS,47.13,30,1.57,3.27,6,Bajo
Ranser,434,44.75,18,2.49,5.44,13,Medio
LoKio,LAS,40.31,26,1.55,3.77,10,Bajo
Chosar,SPQR,44.81,8,5.6,12.25,8,Alto
Nagi,2880,44.84,15,2.99,6.53,12,Medio
YusiGuma,LAS,43.5,31,1.4,3.16,21,Bajo
Webo,LAS,42.78,19,2.25,5.16,7,Medio
ferkk,111,45.66,13,3.51,7.54,11,Alto
rer,16180,47.11,15,3.14,6.53,13,Medio
Kuro,IRON,45.93,9,5.1,10.89,5,Alto
OddsAgainstMe,1905,45.92,27,1.7,3.63,10,Bajo
Doron,Elle,44.5,16,2.78,6.12,5,Bajo
La magia del sur,4444,46.99,23,2.04,4.26,11,Medio
Luuuu,max,45.27,19,2.38,5.16,6,Medio
0FF THE GRID,LAS,45.87,19,2.41,5.16,6,Medio
kaybroak,MVP,46.16,17,2.72,5.76,5,Bajo
KasFesp,LAS,45.98,12,3.83,8.17,12,Alto
Salteño Promedio,ups,43.89,23,1.91,4.13,8,Medio
zzz,trap,45.78,25,1.83,3.92,13,Bajo
God ryze,LAS,47.34,14,3.38,7.0,9,Medio
Ðiush,White,47.07,17,2.77,5.76,11,Medio
LoanniZz,DEUS,49.27,23,2.14,4.26,8,Medio
TTV Pikabam,001,47.51,16,2.97,6.12,5,Bajo
AvHPeaceMaker,LAS,45.56,8,5.7,12.25,8,Alto
PeelMe,Tom,47.86,15,3.19,6.53,10,Medio
Pmx,LAS,47.7,30,1.59,3.27,14,Bajo
El Garbanzo,LAS,49.32,23,2.14,4.26,4,Bajo
Duki,7763,51.44,17,3.03,5.76,17,Medio
fedejuega,LAS,48.56,26,1.87,3.77,5,Bajo
iJoker,LAS,47.66,17,2.8,5.76,7,Medio
jzsoe,LAS,47.27,20,2.36,4.9,9,Medio
Haewon,1998,47.88,12,3.99,8.17,12,Alto
T1Nyuloi,Nashe,50.02,30,1.67,3.27,8,Bajo
iPloxSB,1476,43.64,19,2.3,5.05,12,Medio
Willimerca,6666,45.32,25,1.81,3.92,6,Bajo
TotooR2,LAS,45.6,15,3.04,6.53,9,Medio
JacquesLacan,1230,45.31,19,2.38,5.16,12,Medio
RJAV,1998,48.17,23,2.09,4.26,11,Medio
Nestornadoxs,LAS,46.54,23,2.02,4.26,7,Medio
Reish99,2001,48.08,30,1.6,3.27,5,Bajo
MadLife,NCS,46.44,20,2.32,4.9,13,Medio
LoGoZ,LAS,47.9,24,2.0,4.08,7,Medio
SkeeLetor,LAS,47.01,18,2.61,5.44,10,Medio
Fernecito,ConCo,49.86,24,2.08,4.08,7,Medio
Gekidou,512,48.36,33,1.47,2.97,14,Bajo
regicida,LAS69,48.7,29,1.68,3.38,13,Bajo
Bling Bling,lowie,43.91,28,1.57,3.5,4,Bajo
Asa Mitaka,Kelly,47.04,34,1.38,2.88,5,Bajo
Thom Merrilin,LAS,48.98,17,2.88,5.76,6,Medio
Thaizor,LAS,47.5,23,2.07,4.26,6,Medio
Pingu,SEES,46.49,28,1.66,3.5,3,Bajo
SinverGWENza,Gwen,48.28,30,1.61,3.27,6,Bajo
222369,222,48.48,15,3.23,6.53,8,Medio
Mewi,LAS,45.04,17,2.65,5.76,7,Medio
moko,1040,44.69,9,4.97,10.33,9,Alto
Barry Chopper,LAS,45.91,30,1.53,3.27,10,Bajo
Matisinho,000,48.58,22,2.21,4.45,5,Bajo
Amal2,LAS,46.88,24,1.95,4.08,8,Medio
Dsá,Meins,48.56,20,2.43,4.9,6,Medio
Takirø,弓の神7R,47.25,29,1.63,3.38,9,Bajo
Teemomazos,PER,45.56,27,1.69,3.63,11,Bajo
LoboAlfaKevin,LAS,50.51,32,1.58,3.06,9,Bajo
